"last_name, first_name","pitch_hand","active_spin_fourseam","active_spin_sinker","active_spin_cutter","active_spin_changeup","active_spin_splitter","active_spin_curve","active_spin_slider","active_spin_sweeper","active_spin_slurve"
"Schmidt, Clarke","R",,"63.3","46",,,"71",,"49.9",
"Leiter Jr., Mark","R",,"93.1","54.3",,"88.6","97.3",,,
"Matz, Steven","L",,"99.4",,"83.2",,"77.6",,,
"Alexander, Scott","L",,"76.3",,"65.8",,,"31.4",,
"Bird, Jake","R",,"74.5","58.1",,,"85.9","53.8",,
"Peralta, Wandy","L",,"95.2",,"84",,,"33.7",,
"Ferrer, Jose A.","L",,"99.5",,"94.1",,,"21.1",,
"Rogers, Taylor","L",,"87.9",,,,,,"68.2",
"Murdock, Noah","R",,"69.4","23.9","60.3",,,,"55.3",
"Ginn, J.T.","R",,"77.6","57.9","76.9",,,"17.9",,
"Darrell-Hicks, Michael","R",,"85","35.7",,,,,"56.4",
"Johnson, Ryan","R",,"67.5","42.4",,"82.4",,,"51.4",
"Mayza, Tim","L",,"87",,,,,"18.6",,
"Jansen, Kenley","R",,"97.1","82.5",,,,"43.5",,
"García, Luis","R",,"82.3",,,"81.2",,"46.1","54.1",
"Borucki, Ryan","L",,"95.5",,,"87.5",,"16","44.6",
"Spence, Mitch","R",,"50.6","31.1",,,"71.2","53.9",,
"Ashcraft, Graham","R",,,"47.2",,,,"37",,
"Vargas, Carlos","R",,"69.8","28.2",,,,"29.1",,
"Sánchez, Cristopher","L",,"93.8",,"81.9",,,"14.3",,
"Clase, Emmanuel","R",,,"63.9",,,,"37.2",,
"Fluharty, Mason","L",,,"41.5",,,,,"57.2",
"Little, Brendon","L",,"71.1","40.4",,,"73.1",,,
"Tinoco, Jesus","R",,"87.5",,"97.9",,,"36.2",,
"Tate, Dillon","R",,"91.5",,"68.4",,,,"37.3",
"Valdez, Framber","L",,"79.7",,"77.9",,"81.2","29",,
"Hader, Josh","L",,"99.5",,"92.4",,,"20",,
"McFarland, T.J.","L",,"89.9",,"93.6",,,,"65.3",
"Whitlock, Garrett","R",,"99.4",,"85.8",,,"52.4","62.5",
"McCullers Jr., Lance","R",,"74.1",,"81.1",,"81.2","54.4",,
"Koenig, Jared","L",,"80.5","49","92.4",,"81.3",,,
"Peguero, Elvis","R",,"91.7",,,,,"30.2",,
"Rogers, Tyler","R",,"70.1",,,,,"60.1",,
