DATE,OPPONENT,RESULT,SB,CS,SB - situation,CS- Situation,Outs,Innings,,
30-Mar-23,@WAS ,W,1,0 ,0,N/A,0,1st,,\ =  multiple outs when multiple stolen bases
1-Apr-23,@WAS ,W 7-1,0 ,0 ,,,,,,
2-Apr-23,@WAS ,L 4-1,0 ,0 ,,,,,,
3-Apr-23,@STL ,W,0,1 ,N/A,0,0,1st,,\ = mutiple stolen bases
4-Apr-23,@STL ,W,1,0 ,0,N/A,1,1st,,", = to the left outs when stolen, outs before caught"
5-Apr-23,@STL ,W 5-2,0 ,0 ,,,,,,
6-Apr-23,vs SD ,W 7-6,0 ,0 ,,,,,,
7-Apr-23,vs SD ,L,1,0 ,2,N/A,1    ,3rd,,
7-Apr-23,vs SD ,L,1,0 ,1,N/A,1    ,5th,,
8-Apr-23,vs SD ,L 4-1,0 ,0 ,,,,,,
9-Apr-23,vs SD ,L,1,0 ,7,N/A,1,5th,,
10-Apr-23,vs CIN ,W 5-4,0 ,0 ,,,,,,
11-Apr-23,vs CIN ,W 7-6,0 ,0 ,,,,,,
12-Apr-23,vs CIN ,W,1,1 ,0,0,2,2nd,,
12-Apr-23,vs CIN ,W,1,1 ,0,0,0,7th,,
14-Apr-23,@KC ,W 10-3,0 ,0 ,,,,,,
15-Apr-23,@KC ,W 9-3,0 ,0 ,,,,,,
16-Apr-23,@KC ,W,1,0 ,0,N/A,1,8th,,
17-Apr-23,@SD ,W 2-0,0 ,0 ,,,,,,
18-Apr-23,@SD ,W 8-1,0 ,0 ,,,,,,
19-Apr-23,@SD ,L,1,0 ,0,N/A,0,1st,,
21-Apr-23,vs HOU ,L 6-4,0 ,0 ,,,,,,
22-Apr-23,vs HOU ,L,1,0 ,0,N/A,0,1st,,
22-Apr-23,vs HOU ,L,1,0 ,0,N/A,2,1st,,
22-Apr-23,vs HOU ,L,1,0 ,1,N/A,2,7th,,
23-Apr-23,vs HOU ,L,1,0 ,0,N/A,0,1st,,
24-Apr-23,vs MIA ,W 11-0,0 ,0 ,,,,,,
25-Apr-23,vs MIA ,W,1,0 ,0,N/A,0,1st,,
26-Apr-23,vs MIA ,W 6-4,0 ,0 ,,,,,,
27-Apr-23,vs MIA ,L 5-4,0 ,0 ,,,,,,
