"last_name, first_name","pitch_hand","active_spin_fourseam","active_spin_sinker","active_spin_cutter","active_spin_changeup","active_spin_splitter","active_spin_curve","active_spin_slider","active_spin_sweeper","active_spin_slurve"
"Hader, Josh","L",,"98.7",,"94.2",,,"14.4",,
"Covey, Dylan","R",,"79","62",,"77.6",,"31","41.3",
"Bird, Jake","R",,"73.6","43.5",,,"83.3","43.6",,
"Suero, Wander","R",,,"71","77.6",,,,,
"Bachman, Sam","R",,"98.5",,,,,"10.1",,
"Young, Danny","L",,"88",,,,,,"64.1",
"La Sorsa, Joe","L",,"89.7","41","95.5",,,,"54.7",
"Luetge, Lucas","L",,,"43.6",,,"89.5",,"64.1",
"Robertson, David","R",,,"71","77.2",,"66.8","45.2",,
"Pop, Zach","R",,"80.9",,,,,"33.8",,
"Mayza, Tim","L",,"87.4",,,,,"16.8",,
"Fulmer, Carson","R",,"79.6",,"92.7",,"63.5","29.5",,
"Snider, Collin","R",,"57.8","29.9",,,,"49.7","58.8",
"Hernández, Jonathan","R",,"91",,"94.8",,,"30.6",,
"Saalfrank, Andrew","L",,"76.1",,,,"66.1",,,
"McArthur, James","R",,"85.7",,,,"85.4","17.4",,
"Bautista, Félix","R",,"98.2",,,"91.6",,"34.4",,
"Mejía, J.C.","R",,"84.5",,,,,"34.2",,
"Peguero, Elvis","R",,"92.9",,,,,"16.5",,
"Vespi, Nick","L",,,"35.6",,,"63.3","42",,
"Burnes, Corbin","R",,"70.1","57.3","72.5",,"73.4","40.2","53.1",
"Criswell, Cooper","R",,"83.9","38.2","87.4",,,"37.8","71.1",
"Keuchel, Dallas","L",,"84.8","38.5","90.1",,,"29.6",,
"Jansen, Kenley","R",,"94.7","78.6",,,,"49.1",,
"González, Victor","L",,"96.6",,"98.2",,,"8.3",,
"Rodríguez, Joely","L",,"91.2",,"98.3",,,"33.4",,
"Valdez, Framber","L",,"83.8","29.3","85.1",,"76","30.3",,
"Chavez, Jesse","R",,"91.3","63.7","97.2",,"80.2",,,
"Bernardino, Brennan","L",,"76.5",,"93.7",,"65.9",,,
"King, John","L",,"82.6",,"94.3",,,"17.3",,
"Llovera, Mauricio","R",,"83.3","47.2",,,,"53.5",,
"Naile, James","R",,"78.6",,"84.7",,"57.3",,,
"Funderburk, Kody","L",,"81.1","57.3",,,,"54.6",,
"Raley, Brooks","L",,"65.5","31.8","82",,,,"57.2",
"Matz, Steven","L",,"99.2",,"83.2",,"77.1","44.8",,
"Jacques, Joe","L",,"97",,,,,,"63.3",
"Yacabonis, Jimmy","R",,"91.9",,"98.2",,,,"70.6",
"Walker, Ryan","R",,"71.4",,,,,"56.9",,
"Doval, Camilo","R",,"69.2","72",,,,"27.2",,
"Smyly, Drew","L",,"98.6","64.7",,,"36.3",,,
"Hjelle, Sean","R",,"83.8",,"79.1",,"51.1",,,
"Rogers, Tyler","R",,"72.6",,,,,"61.6",,
"Wood, Alex","L",,"99.4",,"96.8",,,"38.4",,
"Maton, Phil","R",,"60.3","49.7",,,"97.2",,"67.2",
"Lucchesi, Joey","L",,"78.6","81",,,"27.6",,,
"Hartwig, Grant","R",,"96.1","67","97.5",,,,"44.4",
"Junis, Jakob","R",,"72.6",,"80.6",,,"47.9",,
"Weber, Ryan","R",,"93.6",,"93.9",,,"67.5",,
"Rogers, Taylor","L",,"87.2","29.8",,,,,"63.8",
"Foley, Jason","R",,"93.9",,"98.6",,,"26.2",,
"Alexander, Scott","L",,"74.2",,"82.3",,,"44.6",,
"Cobb, Alex","R",,"86.6",,,"79.1","73.6","47.1",,
"Bristo, Braden","R",,"83.4","37.2","94.2",,,,"40.7",
"McCaughan, Darren","R",,"85.1",,"99.3",,,,"42",
"Topa, Justin","R",,"85.8","48.8","94.8",,,,"53.7",
"Holmes, Clay","R",,"74.4",,,,,"30.3","53.8",
"Cordero, Jimmy","R",,"89.7",,,,,"34.6",,
"Schmidt, Clarke","R",,"51.7","35.8","47.4",,"71.9",,"40",
"Cronin, Declan","R",,"61",,,,,"40.9","71.8",
"Ashcraft, Graham","R",,"48.8","43.1",,,,"49.6",,
"Navarro, Edgar","R",,"73.4",,,,,"54.9",,
"Ramírez, Yohan","R",,"86.2",,"98.7",,,,"52.4",
"Selby, Colin","R",,"89.2",,,,"90.7","26.4",,
"Santos, Gregory","R",,"62.2",,"66",,,"31.8",,
"Holderman, Colin","R",,"82.5","39.3",,,,,"42.1",
"Clase, Emmanuel","R",,,"57",,,,"38",,
"Smith, Chad","R",,"92.7",,,,,"21.9",,
"De los Santos, Yerry","R",,"98.1",,"97.2",,,"25.2",,
"Shaw, Bryan","R",,"63.3","51.4","74.4",,"89.7",,"55.1",
"Borucki, Ryan","L",,"92.8",,"95.1",,,"31.2","38.4",
"Sánchez, Cristopher","L",,"97.9",,"94",,,"35.8",,
"Bruihl, Justin","L",,"74.5","45.1",,,,,"56.5",
"Lawrence, Justin","R",,"82.7",,,,,,"51.4",
"Carasiti, Matt","R",,"96.4","67.9",,"95.9",,,,
"Alvarado, José","L",,"96","40.9",,,,,,
"Swanson, Erik","R","99.6",,,,"94.9",,"31.6",,
"Rosenberg, Kenny","L","99.6",,"20.4","99",,"62.8",,,
"Abreu, Albert","R","99.5","99.5",,"99.5",,,"37.2",,
"Jackson, Andre","R","99.5",,,"92.3",,"96.1","28.5",,
"Whitlock, Garrett","R","99.5","99.3",,"90.1",,,,"66.2",
"Williamson, Brandon","L","99.5",,"52.6","98.8",,"83.4","31.5","44.7",
"Gomber, Austin","L","99.5",,,"97.5",,"81.6","38.4",,
"Mahle, Tyler","R","99.4",,,,"87.5",,"35.5",,
"Plesac, Zach","R","99.4",,,"99.3",,"29.3","52",,
"Heaney, Andrew","L","99.4",,,"99.3",,,"27.5",,
"Bradford, Cody","L","99.4",,"52.7","99.2",,,"32",,
"Hernandez, Jose E.","L","99.4",,,"99.2",,,"18.8",,
"Harvey, Hunter","R","99.4",,,,"84.2","85.8","21",,
"Miller, Bobby","R","99.4","98.8",,"96.9",,"77.2","37.9","50.5",
"Stanek, Ryne","R","99.4",,,,"95.8",,"24.4",,
"Weems, Jordan","R","99.3",,,,"98.4",,"37",,
"Crawford, Kutter","R","99.3",,"51.3",,"78.2","84.9","28","30.4",
"Gonzales, Marco","L","99.3","99.6","58.3","96.1",,"64.2",,,
"Detmers, Reid","L","99.3","96.8",,"93.2",,"91.2","32.7","61.4",
"Garcia, Rico","R","99.3",,,"97.8",,"76.9",,,
"Richards, Trevor","R","99.3",,,"68.5",,,,,
"Ferrer, Jose A.","L","99.3","99.5","37.6","97.5",,,"30.7",,
"Banda, Anthony","L","99.3","98.4",,"95.4",,,"19",,
"McClanahan, Shane","L","99.3",,,"98.6",,"47.9","25.5",,
"Wacha, Michael","R","99.2","97.7","62.3","84.1",,"86.3",,,
"Gray, Josiah","R","99.2","98.5","61.6","96.8",,"32.5","33","35.1",
"Moreta, Dauri","R","99.1",,,"98.6",,,"30.8",,
"Barnes, Matt","R","99.1",,,,"89.4","71.8",,,
"Balazovic, Jordan","R","99.1",,,"92.9",,"77.3","22.3",,
"Hancock, Emerson","R","99.1","99.3",,"96.3",,,"37",,
"Seabold, Connor","R","99","96",,"88.1",,"57","26",,
"Marinaccio, Ron","R","99",,,"95.5",,,,"44.5",
"Blach, Ty","L","99","99.4","32.4","99.3",,"53.4",,,
"Vesia, Alex","L","99",,,"98.8",,,"36.5",,
"Finnegan, Kyle","R","99",,,,"86",,"41.2",,
"Estévez, Carlos","R","99",,,"94",,,"37.4",,
"Martinez, Justin","R","99",,,,"95",,"35.8",,
"Dodd, Dylan","L","98.9",,"48.1","85",,,"29.9",,
"Koch, Matt","R","98.9",,"39.9",,,,"52",,
"Cecconi, Slade","R","98.9",,,,"95.1","83.8","27.9",,
"Castillo, Max","R","98.9","99.1",,"96.1",,,"31.1",,
"Sweet, Devin","R","98.8",,,"68.7",,,"36.5",,
"Urquidy, José","R","98.8","94.8",,"98.5",,"73.7",,"47.9",
"McKenzie, Triston","R","98.8",,,,,"62.6","51.9",,
"Lee, Dylan","L","98.7",,,"98.4",,,"25.8",,
"Quantrill, Cal","R","98.7","98.2","39.8","97.7","96.1","30",,,
"Wentz, Joey","L","98.7",,"34.3","98.7",,"72.6",,,
"Smith-Shawver, AJ","R","98.7",,,"98.8",,"88.5","41.5",,
"Sheehan, Emmet","R","98.7",,,"86.3",,,"24.5","61",
"Gallegos, Giovanny","R","98.6",,,"99.1",,,"10.2",,
"Harrison, Kyle","L","98.6",,,"98.8",,,"24.8",,"37.2"
"Machado, Andrés","R","98.6","96.6",,"91.6",,,"41.6",,
"Lodolo, Nick","L","98.5","99.2",,"90.8",,"61",,,
"Cruz, Steven","R","98.5","97.6","65.9",,,,"48.6",,
"Irvin, Cole","L","98.5","96.7","24.4","99.3",,"60.1",,,
"Rodriguez, Grayson","R","98.5",,"58.3","83.9",,"79.6","51.3","43.6",
"Gilbert, Logan","R","98.4",,,,"84.7","76.3","14.3",,
"Diekman, Jake","L","98.4","99","38.2","98.4",,,,"34.6",
"Jackson, Zach","R","98.3",,,,,,"20.4",,
"Luzardo, Jesús","L","98.3","98.5","50.4","98.2",,,"9.9",,
"Pérez, Francisco","L","98.3","95.8",,"94.4",,,"31.9",,
"Estrada, Jeremiah","R","98.3",,,,,,"33.2",,
"López, Reynaldo","R","98.3",,,"96.3",,"51.7","34.1",,
"McGough, Scott","R","98.3",,,,"90.6",,"30.8",,
"Kowar, Jackson","R","98.3",,,"85.8",,,"26.4",,
"Beck, Tristan","R","98.2",,,,,"89","39.6","62.9",
"Blanco, Ronel","R","98.2",,,"94.9",,"42.5","45.6",,
"Kuhl, Chad","R","98.2","96.4",,"97",,"70.4","32.5",,
"Harris, Hogan","L","98.2",,"75.8","97.2",,"92.9",,"79.3",
"Milner, Hoby","L","98.2","94.7",,"99.1",,,,"55.3",
"Brogdon, Connor","R","98.1",,"59.5","97.6",,,,,
"Eovaldi, Nathan","R","98.1",,"66.3",,"84.8","83.1","41.1",,
"Baumann, Mike","R","98.1",,,"99.3",,"53.5","42",,
"Paxton, James","L","98.1","97.8","14.6","91.8",,"66.3",,,
"Springs, Jeffrey","L","98",,,"89.7",,,"34","44.4",
"Thompson, Zack","L","98",,,"96.9",,"94","24.6",,
"Moore, Matt","L","98",,,"97.4",,"60.5",,,
"Hoffman, Jeff","R","98","98.9",,,"95.3",,"20.9",,
"Giolito, Lucas","R","98",,,"98",,"91","17.2",,
"Williams, Gavin","R","97.9",,,"99.4",,"96.7","35.9",,
"Manaea, Sean","L","97.9","97.9",,"91.4",,,"21.8","35",
"Pérez, Martín","L","97.9","97.7","72.3","99.4",,"28.5","28.4",,
"Castro, Miguel","R","97.9","97.2",,"94.6",,,"49.5",,
"De León, José","R","97.8",,"47.9","97.2",,,"58.5",,
"Hearn, Taylor","L","97.8","92.3",,"87.2",,,"23.1",,
"Carlton, Drew","R","97.8","96.7",,"99.1",,,"38.2",,
"Kennedy, Brett","R","97.8","96.5",,"90.9",,,"13.9",,
"Martínez, Adrián","R","97.8",,,"73.7",,,"15.7",,
"Kremer, Dean","R","97.8","94.8","51.2","95.1",,"69.9",,"53.5",
"Acevedo, Domingo","R","97.8",,,"99.3",,,"44.4",,
"Mears, Nick","R","97.7",,,,,"80.1","25.6",,
"Englert, Mason","R","97.7",,,"69.9",,,"15.5",,"37.5"
"Headrick, Brent","L","97.7",,,,"96.6",,"18.8",,
"Pepiot, Ryan","R","97.7",,,"87.9",,,"44.1",,
"Harris, Hobie","R","97.6",,"36.7",,"80.8",,,,
"Willingham, Amos","R","97.6",,"46.2","95.8",,,"35.2",,
"Brebbia, John","R","97.6",,,,,,"46.3",,
"Shreve, Chasen","L","97.5",,,,"94.5",,,"29.9",
"López, Jorge","R","97.5","97.2",,"98.3",,"68.9","27.8",,
"Cabrera, Génesis","L","97.5","96.6","53.1","98.6",,"67.4",,,
"Gausman, Kevin","R","97.5",,,,"88.7",,"21.1","28.6",
"Lorenzen, Michael","R","97.4","93.4","30.4","98.5",,"64.5","20","31.8",
"Ragans, Cole","L","97.4",,"43.8","99.4",,"79","16.8",,
"Palencia, Daniel","R","97.4","97.6",,,,"34.8","25.9",,
"Curry, Xzavion","R","97.4",,,"92.2",,"79.7","41.9",,
"Kelly, Joe","R","97.4","94.5",,"99.4",,"53","27.5",,
"Lambert, Peter","R","97.4",,,"98.5",,"93.2","43.8","42.1",
"Means, John","L","97.3",,,"94.4",,"57.8","57.3",,
"Nicolas, Kyle","R","97.3",,,,,,"32.6",,
"Yarbrough, Ryan","L","97.3",,"57.3","95",,,,"70.7",
"Akin, Keegan","L","97.3",,,"99",,,"28.6",,
"Peralta, Wandy","L","97.3","95",,"84.7",,,"28.1",,
"Poche, Colin","L","97.2",,,,,,"44.8",,
"Miller, Shelby","R","97.2",,,,"89.4",,,"55",
