"last","first","avg_5yr_active_spin","avg_5yr_velocity","avg_5yr_horizontal_movement","avg_5yr_vertical_movement","spin_class","velo_class","move_class","profile","NAME","avg_WAR"
"Abreu","Bryan",88.1,96.86,6.82,12.52,"L","H","L","LHL","Bryan Abreu",1.02
"Alexander","Tyler",90.34,90,7.98,16.68,"H","L","H","HLH","Tyler Alexander",0.36
"Anderson","Tyler",98.2,89.94,6.4,15.18,"H","L","L","HLL","Tyler Anderson",1.74285714285714
"Armstrong","Shawn",80.84,94,5.42,14.74,"L","H","L","LHL","Shawn Armstrong",0.0384615384615385
"Barlow","Scott",72.48,93.26,3.66,19.18,"L","L","L","LLL","Scott Barlow",0.828571428571429
"Bednar","David",97.32,96.78,8.82,11.78,"H","H","L","HHL","David Bednar",1.02
"Berríos","José",92.14,93.96,9.9,16,"H","H","H","HHH","José Berríos",1.67142857142857
"Carrasco","Carlos",79.02,92.5,5.74,19.22,"L","L","H","LLH","Carlos Carrasco",-0.5
"Castillo","Luis",89.54,96.16,12.06,16.62,"L","H","H","LHH","Luis Castillo",1.91111111111111
"Cease","Dylan",89.32,96.54,3.48,10.66,"L","H","L","LHL","Dylan Cease",3.12
"Chapman","Aroldis",89.84,98.22,4.24,10.44,"H","H","L","HHL","Aroldis Chapman",0.7
"Corbin","Patrick",87.54,91.68,7.96,17.8,"L","L","H","LLH","Patrick Corbin",-0.72
"Cortes","Nestor",95.5,91.3,4.68,13.66,"H","L","L","HLL","Nestor Cortes",1.98
"De Los Santos","Enyel",94.26,95.46,11.8,16.7,"H","H","H","HHH","Enyel De Los Santos",0.0545454545454546
"Eflin","Zach",84.8,92.6,8.96,18.44,"L","L","H","LLH","Zach Eflin",1.78571428571429
"Eovaldi","Nathan",95.96,95.36,13,17,"H","H","H","HHH","Nathan Eovaldi",2.46
"Estévez","Carlos",98.94,96.72,8.7,13.16,"H","H","L","HHL","Carlos Estévez",0.985714285714286
"Falter","Bailey",96.54,91.52,2.52,14.5,"H","L","L","HLL","Bailey Falter",0.357142857142857
"Finnegan","Kyle",98.86,96.6,11.02,13.6,"H","H","H","HHH","Kyle Finnegan",0.58
"Flaherty","Jack",79.6,93.26,3.84,16.58,"L","L","L","LLL","Jack Flaherty",0.955555555555556
"Freeland","Kyle",81.1,90.72,6.72,19.06,"L","L","H","LLH","Kyle Freeland",1.04
"Fried","Max",71.18,93.96,0.84,18.74,"L","H","L","LHL","Max Fried",3.64
"Gallen","Zac",83.84,93.56,3.78,14.08,"L","L","L","LLL","Zac Gallen",3.06
"García","Yimi",76.88,95.86,9.46,15.76,"L","H","H","LHH","Yimi García",0.288888888888889
"Gausman","Kevin",97.5,94.54,10.74,13.68,"H","H","H","HHH","Kevin Gausman",2.62
"Gibson","Kyle",86.56,91.94,5.52,16.12,"L","L","L","LLL","Kyle Gibson",1.18571428571429
"Gilbert","Logan",95.96,95.84,6.9,12.56,"H","H","L","HHL","Logan Gilbert",2.1
"Gray","Sonny",68.04,92.28,1.24,18.68,"L","L","L","LLL","Sonny Gray",2.68
"Heaney","Andrew",99.38,91.82,15.68,18.66,"H","L","H","HLH","Andrew Heaney",0.571428571428571
"Helsley","Ryan",85.94,99.04,3.02,10.2,"L","H","L","LHL","Ryan Helsley",1.44
"Hendricks","Kyle",89.5,87.24,5.76,20.94,"L","L","H","LLH","Kyle Hendricks",0.26
"Hernández","Carlos",94.3,97.7,8.48,11.52,"H","H","L","HHL","Carlos Hernández",0.08
"Hill","Tim",96.4,90.9,17.9,29.6,"H","L","H","HLH","Tim Hill",0.0571428571428571
